	0xeb11
	0xf43a
	0xeae6
	0xe67e
	0xe6a8
	0xe68a
󰦥	0xf09a5
󰗀	0xf05c0
󱁻	0xf107b
󰲂	0xf0c82
	0xe847
	0xf338
	0xf369
󰉼	0xf027c
󰣞	0xf08de
󰛓	0xf06d3
󰛢	0xf06e2
	0xebd1
	0xe69b
	0xf4ae
	0xe65f
󰕥	0xf0565
󱈚	0xf121a
	0xf129
	0xe6b4
󱁉	0xf1049
󱂵	0xf10b5
	0xe678
𝜋	0x1d70b
󰯄	0xf0bc4
󱑻	0xf147b
	0xe6b1
	0xeab0
󰦝	0xf099d
	0xe632
	0xf0ad
	0xebc8
	0xe655
	0xf2d0
󰒃	0xf0483
󱧃	0xf19c3
󰡯	0xf086f
	0xeba2
	0xee72
	0xf373
󱁢	0xf1062
󰆧	0xf01a7
	0xf362
	0xe81e
	0xf37f
	0xebc7
	0xedca
	0xe637
󰆚	0xf019a
	0xe633
	0xe662
󱧼	0xf19fc
	0xebc4
󰨖	0xf0a16
󰍛	0xf035b
	0xeb9c
	0xe64b
	0xe652
	0xe794
	0xf375
	0xeafa
	0xf36e
